ValoresRms,Tempo,TimeStamp
2.711,02/07/2020 15:04:17.332,1593713057332
2.715,02/07/2020 15:04:17.832,1593713057832
2.713,02/07/2020 15:04:18.332,1593713058332
2.721,02/07/2020 15:04:18.832,1593713058832
2.730,02/07/2020 15:04:19.332,1593713059332
2.739,02/07/2020 15:04:19.832,1593713059832
2.750,02/07/2020 15:04:20.332,1593713060332
2.753,02/07/2020 15:04:20.832,1593713060832
2.761,02/07/2020 15:04:21.332,1593713061332
2.752,02/07/2020 15:04:21.832,1593713061832
2.748,02/07/2020 15:04:22.332,1593713062332
2.748,02/07/2020 15:04:22.832,1593713062832
2.712,02/07/2020 15:04:23.332,1593713063332
2.721,02/07/2020 15:04:23.832,1593713063832
2.724,02/07/2020 15:04:24.332,1593713064332
2.725,02/07/2020 15:04:24.832,1593713064832
2.711,02/07/2020 15:04:25.332,1593713065332
2.715,02/07/2020 15:04:25.832,1593713065832
2.713,02/07/2020 15:04:26.332,1593713066332
2.683,02/07/2020 15:04:26.832,1593713066832
2.704,02/07/2020 15:04:27.332,1593713067332
2.701,02/07/2020 15:04:27.832,1593713067832
2.704,02/07/2020 15:04:28.332,1593713068332
2.687,02/07/2020 15:04:28.832,1593713068832
2.685,02/07/2020 15:04:29.332,1593713069332
2.713,02/07/2020 15:04:29.832,1593713069832
2.718,02/07/2020 15:04:30.332,1593713070332
2.715,02/07/2020 15:04:30.832,1593713070832
2.703,02/07/2020 15:04:31.332,1593713071332
2.725,02/07/2020 15:04:31.832,1593713071832
2.732,02/07/2020 15:04:32.332,1593713072332
2.730,02/07/2020 15:04:32.832,1593713072832
2.733,02/07/2020 15:04:33.332,1593713073332
2.734,02/07/2020 15:04:33.832,1593713073832
2.731,02/07/2020 15:04:34.332,1593713074332
2.739,02/07/2020 15:04:34.832,1593713074832
2.751,02/07/2020 15:04:35.332,1593713075332
2.731,02/07/2020 15:04:35.832,1593713075832
2.707,02/07/2020 15:04:36.332,1593713076332
2.748,02/07/2020 15:04:36.832,1593713076832
2.710,02/07/2020 15:04:37.332,1593713077332
2.713,02/07/2020 15:04:37.832,1593713077832
2.686,02/07/2020 15:04:38.332,1593713078332
2.697,02/07/2020 15:04:38.832,1593713078832
2.692,02/07/2020 15:04:39.332,1593713079332
2.684,02/07/2020 15:04:39.832,1593713079832
2.684,02/07/2020 15:04:40.332,1593713080332
2.693,02/07/2020 15:04:40.832,1593713080832
2.685,02/07/2020 15:04:41.332,1593713081332
2.680,02/07/2020 15:04:41.832,1593713081832
2.681,02/07/2020 15:04:42.332,1593713082332
2.685,02/07/2020 15:04:42.832,1593713082832
2.698,02/07/2020 15:04:43.332,1593713083332
2.693,02/07/2020 15:04:43.832,1593713083832
2.702,02/07/2020 15:04:44.332,1593713084332
2.725,02/07/2020 15:04:44.832,1593713084832
2.722,02/07/2020 15:04:45.332,1593713085332
2.727,02/07/2020 15:04:45.832,1593713085832
2.732,02/07/2020 15:04:46.332,1593713086332
2.754,02/07/2020 15:04:46.832,1593713086832
2.738,02/07/2020 15:04:47.332,1593713087332
2.736,02/07/2020 15:04:47.832,1593713087832
2.757,02/07/2020 15:04:48.332,1593713088332
2.703,02/07/2020 15:04:48.832,1593713088832
2.689,02/07/2020 15:04:49.332,1593713089332
2.713,02/07/2020 15:04:49.832,1593713089832
2.719,02/07/2020 15:04:50.332,1593713090332
2.698,02/07/2020 15:04:50.832,1593713090832
2.687,02/07/2020 15:04:51.332,1593713091332
2.693,02/07/2020 15:04:51.832,1593713091832
2.675,02/07/2020 15:04:52.332,1593713092332
2.682,02/07/2020 15:04:52.832,1593713092832
2.706,02/07/2020 15:04:53.332,1593713093332
2.699,02/07/2020 15:04:53.832,1593713093832
2.690,02/07/2020 15:04:54.332,1593713094332
2.689,02/07/2020 15:04:54.832,1593713094832
2.704,02/07/2020 15:04:55.332,1593713095332
2.700,02/07/2020 15:04:55.832,1593713095832
2.683,02/07/2020 15:04:56.332,1593713096332
2.698,02/07/2020 15:04:56.832,1593713096832
2.737,02/07/2020 15:04:57.332,1593713097332
2.715,02/07/2020 15:04:57.832,1593713097832
2.732,02/07/2020 15:04:58.332,1593713098332
2.739,02/07/2020 15:04:58.832,1593713098832
2.737,02/07/2020 15:04:59.332,1593713099332
2.726,02/07/2020 15:04:59.832,1593713099832
2.727,02/07/2020 15:05:00.332,1593713100332
2.722,02/07/2020 15:05:00.832,1593713100832
2.714,02/07/2020 15:05:01.332,1593713101332
2.691,02/07/2020 15:05:01.832,1593713101832
2.706,02/07/2020 15:05:02.332,1593713102332
2.703,02/07/2020 15:05:02.832,1593713102832
2.693,02/07/2020 15:05:03.332,1593713103332
2.691,02/07/2020 15:05:03.832,1593713103832
2.690,02/07/2020 15:05:04.332,1593713104332
2.684,02/07/2020 15:05:04.832,1593713104832
2.682,02/07/2020 15:05:05.332,1593713105332
2.678,02/07/2020 15:05:05.832,1593713105832
2.669,02/07/2020 15:05:06.332,1593713106332
2.675,02/07/2020 15:05:06.832,1593713106832
